DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,A_WS,A_POWER,YD15
2021/10/2 6:00,5.2,25405.68333,230,1.5,90,821,6.4,32053,
2021/10/2 6:15,5.1,24510.02273,231,1.7,90,821,6.6,33736,31973
2021/10/2 6:30,5.1,23707.01667,231,2.1,90,821,6.3,32272,
2021/10/2 6:45,5,22904.97576,231,2.5,89,821,6,27827,
2021/10/2 7:00,5,22101.9697,231,2.9,89,821,6,28702,25275
2021/10/2 7:15,5,20994.94091,231,3.5,88,821,6.2,30588,28981
2021/10/2 7:30,4.9,19582.92424,231,4.2,87,821,6,28199,28177
2021/10/2 7:45,4.8,18170.90758,230,4.9,85,821,6,29012,28044
2021/10/2 8:00,4.7,16758.89091,230,5.6,84,821,6.1,30670,29562
2021/10/2 8:15,4.8,16035.99242,229,6.2,82,821,6.3,30456,28892
2021/10/2 8:30,4.7,15507.96545,228,6.7,80,821,6.1,26110,28803
2021/10/2 8:45,4.8,15473.35364,225,7.3,78,822,5.5,21405,
2021/10/2 9:00,4.8,15438.74182,223,7.8,76,822,5.8,21103,19068
2021/10/2 9:15,4.9,15914.88818,221,8.3,74,822,5.8,23255,20765
2021/10/2 9:30,5,16900.85727,219,8.7,73,822,6,24405,20809
2021/10/2 9:45,5.2,17887.76182,218,9.2,72,822,6.6,31149,25230
2021/10/2 10:00,5.4,18873.73091,217,9.6,71,822,6.7,34184,29517
2021/10/2 10:15,5.5,20086.08,215,10,69,822,7.9,45298,34340
2021/10/2 10:30,5.8,21524.80909,214,10.4,68,822,7.8,47634,45013
2021/10/2 10:45,6.1,22963.53818,213,10.7,67,822,7.4,41672,43718
2021/10/2 11:00,6.3,24402.26727,211,11.1,66,822,7.4,42585,42646
2021/10/2 11:15,6.5,25693.19455,211,11.3,66,822,7.1,38498,
2021/10/2 11:30,6.7,26837.25545,210,11.3,67,822,7.3,42691,41217
2021/10/2 11:45,6.7,27981.31636,208,11.3,68,821,7.8,44678,41172
2021/10/2 12:00,6.9,29125.37727,208,11.3,69,821,8.1,50300,
2021/10/2 12:15,6.9,29936.41636,207,11.4,69,821,7.9,49098,
2021/10/2 12:30,6.8,30415.36909,205,11.6,69,821,8.4,57243,51934
2021/10/2 12:45,6.9,30895.25727,204,11.9,68,821,8.6,52460,
2021/10/2 13:00,6.8,31374.21,202,12.1,68,821,8.8,54251,
2021/10/2 13:15,6.9,32163.73364,201,12.3,68,821,9,58580,52827
2021/10/2 13:30,7.2,33262.89273,200,12.6,68,821,8.9,59237,55640
2021/10/2 13:45,7.3,34362.98727,199,12.8,67,820,8.5,54675,
2021/10/2 14:00,7.6,35462.14636,198,13.1,67,820,8.6,53213,
2021/10/2 14:15,7.8,36609.01364,198,13.1,68,820,9.1,57957,53140
2021/10/2 14:30,7.9,37802.65364,198,13,69,820,9.1,56970,
2021/10/2 14:45,8,38995.35818,199,12.9,70,820,9.1,59668,
2021/10/2 15:00,8.2,40188.99818,199,12.8,71,820,9.2,59505,
2021/10/2 15:15,8.2,40908.36273,199,12.5,73,820,9.5,65278,55283
2021/10/2 15:30,7.9,41153.45182,199,12.1,76,820,9.9,69418,
2021/10/2 15:45,7.7,41398.54091,199,11.7,80,819,9.5,66843,
2021/10/2 16:00,7.5,41643.63,199,11.3,83,819,10.3,71855,69484
2021/10/2 16:15,7.3,41994.42545,197,11,86,819,10.5,75416,67831
2021/10/2 16:30,7.2,42450.92727,197,10.7,88,819,10.1,67613,
2021/10/2 16:45,7.1,42907.42909,196,10.4,90,820,9.9,65069,
2021/10/2 17:00,6.9,43363.93091,195,10.1,92,820,10,64043,59570
2021/10/2 17:15,6.9,43766.17636,194,9.9,94,820,9.6,62948,
2021/10/2 17:30,6.9,44115.10091,195,9.7,95,820,10,65114,
2021/10/2 17:45,7.1,44464.02545,196,9.5,96,820,10,67122,64259
2021/10/2 18:00,7.1,46235.58333,196,9.3,97,820,9.9,67118,67787
2021/10/2 18:15,7.1,46789.5803,197,9.2,98,820,10,67760,65777
2021/10/2 18:30,7.3,47539.50303,198,9.2,98,820,9.7,63778,63321
2021/10/2 18:45,7.3,48288.46061,199,9.3,98,820,10.5,65998,64884
2021/10/2 19:00,7.5,49038.38333,200,9.3,98,820,10.7,67198,
2021/10/2 19:15,7.5,49705.30303,202,9.3,98,820,9.9,66629,
2021/10/2 19:30,7.6,50290.18485,204,9.4,98,820,10.4,66412,
2021/10/2 19:45,7.6,50875.06667,206,9.5,97,820,9.9,64504,65331
2021/10/2 20:00,7.6,51459.94848,208,9.6,97,820,10.2,66374,
2021/10/2 20:15,7.6,52047.72576,209,9.6,97,820,10.9,68746,
2021/10/2 20:30,7.5,52638.39848,210,9.6,97,820,10.9,68380,66268
2021/10/2 20:45,7.4,53230.03636,211,9.6,98,820,6.7,35172,66224
2021/10/2 21:00,7.4,53820.70909,211,9.6,98,820,7.4,40607,
2021/10/2 21:15,7.4,54697.06667,210,9.6,98,820,10.3,64360,
2021/10/2 21:30,7.6,55304.0937,208,9.7,98,820,11.1,60396,61669
2021/10/2 21:45,7.8,55111.36358,206,9.7,98,820,11.1,61900,
2021/10/2 22:00,8,55173.26721,204,9.8,98,820,11.5,61671,61669
2021/10/2 22:15,8.1,55242.96811,204,9.8,98,820,11.3,59249,58677
2021/10/2 22:30,8.1,55147.66895,206,9.8,98,820,11.6,60747,58275
2021/10/2 22:45,8.2,55296.04622,207,9.7,99,820,11,61711,
2021/10/2 23:00,8.2,55444.49035,208,9.7,99,820,10.5,58302,
2021/10/2 23:15,8.3,55410.9087,210,9.8,99,820,11.3,62119,60240
2021/10/2 23:30,8.2,55118.43804,211,9.9,99,820,10.9,61444,
2021/10/2 23:45,8.3,55149.00192,212,10,99,820,10.4,62927,58543
2021/10/3 0:00,9.2,55485.47909,220,10.7,99,820,10.9,63622,61580
2021/10/3 0:15,9,55183.91553,221,10.7,99,820,9.7,59866,61535
2021/10/3 0:30,8.8,55220.74904,222,10.7,99,820,9.3,59094,
2021/10/3 0:45,8.6,55468.21718,224,10.8,99,820,9.5,60908,
2021/10/3 1:00,8.4,55160.91733,225,10.8,99,820,10,60479,57829
2021/10/3 1:15,8.3,53259.95606,227,10.8,99,820,8.5,51718,57739
2021/10/3 1:30,8.2,51341.23485,230,10.8,99,820,9.2,59236,47692
2021/10/3 1:45,8.1,49422.51364,232,10.7,99,820,7.6,44230,49165
2021/10/3 2:00,8.1,47503.79242,235,10.7,99,820,7.3,38707,42780
2021/10/3 2:15,8,45925.7697,238,10.7,99,820,7.2,37127,
2021/10/3 2:30,8,44688.44545,241,10.7,98,820,6.6,30252,
2021/10/3 2:45,8,43452.08636,243,10.7,98,820,6.1,25943,27240
2021/10/3 3:00,8,42214.76212,246,10.7,97,820,7.1,40041,23935
2021/10/3 3:15,7.9,40935.93636,249,10.6,97,820,7.6,44168,
2021/10/3 3:30,7.8,39615.60909,252,10.5,96,820,7.1,38451,
2021/10/3 3:45,7.7,38295.28182,255,10.3,96,820,7.6,42032,39788
2021/10/3 4:00,7.6,36974.95455,258,10.2,95,820,7.9,47476,
2021/10/3 4:15,7.5,35731.83939,261,10,95,820,8,48747,
2021/10/3 4:30,7.3,34565.93636,265,9.7,95,820,8.2,52884,42065
2021/10/3 4:45,7.2,33400.03333,268,9.5,96,820,8.1,48655,48362
2021/10/3 5:00,7.1,32234.1303,272,9.2,96,820,7.4,42845,
2021/10/3 5:15,7,31271.87424,275,9,96,820,6.2,29569,
2021/10/3 5:30,7,30513.26515,277,8.9,96,820,5.8,24160,25811
2021/10/3 5:45,7,29755.62121,280,8.8,95,821,5.2,20377,
2021/10/3 6:00,7,28997.01212,282,8.7,95,821,4.8,17585,
2021/10/3 6:15,7.1,28405.37424,286,8.6,94,821,4.8,16223,
2021/10/3 6:30,7.1,27981.67273,288,8.7,93,821,5,16849,17148
2021/10/3 6:45,7.2,27557.97121,290,8.8,92,821,5.1,18169,17103
2021/10/3 7:00,7.2,27134.2697,293,8.9,91,821,4.7,18466,
2021/10/3 7:15,7,26514.64242,293,9.1,89,821,5.9,24260,18264
2021/10/3 7:30,6.6,25700.05455,290,9.5,86,821,6.2,27210,23087
2021/10/3 7:45,6.3,24886.43182,288,9.8,83,822,5.8,24388,
2021/10/3 8:00,5.9,24071.84394,286,10.2,80,822,4.9,15783,
2021/10/3 8:15,5.7,23305.51364,283,10.6,77,822,4.5,12763,15138
2021/10/3 8:30,5.5,22587.44091,283,11,73,822,5.3,17180,
2021/10/3 8:45,5.4,21869.36818,282,11.5,69,822,6.1,23422,
2021/10/3 9:00,5.3,20825.89091,281,11.9,65,822,6,24235,18443
2021/10/3 9:15,5.3,20655.78667,282,12.3,61,822,5.9,21158,19604
2021/10/3 9:30,5.5,21022.60364,287,12.6,56,822,6.2,25752,
2021/10/3 9:45,5.9,21390.37091,291,13,52,823,6.9,31288,
2021/10/3 10:00,6.2,21757.18788,295,13.3,47,823,6.4,25068,29651
2021/10/3 10:15,6.4,21925.39152,297,13.6,44,823,5.9,21698,
2021/10/3 10:30,6.5,21894.98182,299,13.7,42,823,6.5,26850,22283
2021/10/3 10:45,6.7,21863.62182,302,13.9,39,823,6.3,25604,26436
2021/10/3 11:00,6.9,21833.21212,304,14,37,823,5.6,20633,22104
2021/10/3 11:15,6.9,21429.33333,304,14.2,36,823,5.6,18913,18219
2021/10/3 11:30,6.8,20651.03515,304,14.4,35,823,5.1,13337,
2021/10/3 11:45,6.6,19873.68727,304,14.6,34,823,5.6,18521,13798
2021/10/3 12:00,6.5,19095.38909,304,14.8,33,823,5.3,15718,17014
2021/10/3 12:15,6.2,17725.05212,302,15,32,823,4.4,10177,14379
2021/10/3 12:30,5.6,15760.77576,300,15.2,32,823,4.2,10896,9824
2021/10/3 12:45,5.1,13797.4497,297,15.4,32,823,4.8,12930,10092
2021/10/3 13:00,4.6,11833.17333,293,15.6,32,823,5.3,16734,14111
2021/10/3 13:15,4.2,10364.95515,291,15.7,32,823,4.8,13273,
2021/10/3 13:30,3.9,9664.861028,294,15.6,32,823,5.6,19862,14066
2021/10/3 13:45,3.8,9562.173634,295,15.6,33,824,5.8,21851,21881
2021/10/3 14:00,3.5,9782.379035,299,15.5,33,824,6.1,24599,
2021/10/3 14:15,3.5,9790.361331,301,15.5,33,824,6.1,24106,
2021/10/3 14:30,3.7,9548.220406,304,15.4,33,824,5.8,21900,24114
2021/10/3 14:45,3.9,9711.813589,308,15.3,34,824,5.4,16470,
2021/10/3 15:00,4.2,9670.255075,310,15.2,34,824,3.6,5693,
2021/10/3 15:15,4.3,9718.618455,311,15,34,824,2.4,1262,3260
2021/10/3 15:30,4.2,9606.622797,310,14.8,35,824,2.4,1621,447
2021/10/3 15:45,4,9539.33311,310,14.6,36,824,2.1,707,
2021/10/3 16:00,4,9711.170298,309,14.4,37,824,1.6,60,
2021/10/3 16:15,4,9792.411372,310,14,38,824,1.7,-8,-625
2021/10/3 16:30,4.2,9855.680713,312,13.5,40,824,1.4,-98,-536
2021/10/3 16:45,4.3,9601.694834,312,12.9,43,825,2,-106,-402
2021/10/3 17:00,4.5,9741.140179,314,12.4,45,825,2.8,1050,-536
2021/10/3 17:15,4.6,9720.068933,316,11.7,46,825,2.6,1279,670
2021/10/3 17:30,4.8,9651.833777,318,11,46,825,3.4,4742,
2021/10/3 17:45,5,9587.799577,319,10.2,47,826,5.2,14894,
2021/10/3 18:00,5.3,10659.13333,321,9.5,47,826,2.9,3813,12682
2021/10/3 18:15,5.4,11347.28636,322,9,47,826,2.7,2098,2054
2021/10/3 18:30,5.6,12009.3803,325,8.7,47,826,3.3,3632,
2021/10/3 18:45,5.9,12671.47424,327,8.4,47,827,4,7297,
2021/10/3 19:00,6.1,13333.56818,329,8.1,47,827,4.5,11547,6207
2021/10/3 19:15,6.1,13757.2697,330,7.9,47,827,5.8,21927,
2021/10/3 19:30,6.2,13943.54394,331,7.6,48,827,6.9,34797,
2021/10/3 19:45,6.2,14128.85303,331,7.3,48,827,6.2,29861,35680
2021/10/3 20:00,6.2,14315.12727,332,7,49,827,5.5,20337,26481
2021/10/3 20:15,6.2,14504.29697,332,6.8,49,827,5.3,17616,
2021/10/3 20:30,6.3,14698.29242,333,6.6,50,827,5.5,19850,17505
2021/10/3 20:45,6.2,14892.28788,334,6.3,50,828,5.5,20248,19425
2021/10/3 21:00,6.3,15086.28333,335,6.1,51,828,4.5,13041,
2021/10/3 21:15,6.2,15071.80606,336,5.9,52,828,5.3,18381,
2021/10/3 21:30,6.1,14850.78636,339,5.6,53,828,5.6,20963,
2021/10/3 21:45,6,14629.76667,342,5.3,54,829,5.1,16213,22104
2021/10/3 22:00,5.9,14408.74697,344,5,55,829,5.1,16568,
2021/10/3 22:15,5.9,14266.8697,346,4.8,55,829,5.3,18119,
2021/10/3 22:30,5.9,14204.13485,346,4.6,56,829,4.9,17951,18532
2021/10/3 22:45,5.8,14141.4,346,4.4,57,829,5,17569,17103
2021/10/3 23:00,5.8,14078.66515,346,4.2,58,829,5.8,21551,
2021/10/3 23:15,5.9,14188.69242,345,4.1,58,829,5.8,23710,
2021/10/3 23:30,6,14469.55152,345,4,59,829,5.6,21370,22551
2021/10/3 23:45,6.1,14751.37576,344,3.9,59,830,5.2,16267,
2021/10/4 0:00,5.9,15694.32879,346,3.2,64,830,5.3,16764,
2021/10/4 0:15,5.9,15446.28485,346,3,65,830,4.5,11743,15540
2021/10/4 0:30,5.7,15250.35909,347,2.9,66,830,4.1,8329,10583
2021/10/4 0:45,5.7,15054.43333,348,2.8,67,830,4.4,11081,
2021/10/4 1:00,5.6,14858.50758,349,2.7,68,830,3.7,7035,
2021/10/4 1:15,5.7,14901.93939,350,2.5,69,830,4.1,8876,6386
2021/10/4 1:30,5.8,15184.72879,352,2.4,70,830,4.5,12049,
2021/10/4 1:45,5.8,15468.48333,353,2.3,71,831,3.7,6397,
2021/10/4 2:00,5.9,15751.27273,355,2.2,72,831,3.1,3225,4867
2021/10/4 2:15,5.9,15898.94091,356,2,73,831,3.3,4878,2769
2021/10/4 2:30,5.8,15910.52273,357,1.9,74,831,3.2,5088,4689
2021/10/4 2:45,5.8,15923.0697,358,1.8,75,831,3.7,5718,
2021/10/4 3:00,5.7,15934.65152,359,1.7,76,831,3.4,5277,5091
2021/10/4 3:15,5.6,15932.72121,0,1.6,76,831,3.4,5904,
2021/10/4 3:30,5.5,15916.31364,1,1.5,77,831,3.9,8142,
2021/10/4 3:45,5.3,15900.87121,4,1.4,78,831,4.8,14449,
2021/10/4 4:00,5.2,15884.46364,7,1.3,79,831,5.3,20011,15987
2021/10/4 4:15,5.1,15838.13636,9,1.2,79,831,5.4,20231,
2021/10/4 4:30,4.9,15759.95909,12,1.1,79,831,5.6,20557,
2021/10/4 4:45,4.8,15681.78182,15,1,80,832,5.5,22593,22685
2021/10/4 5:00,4.6,15603.60455,18,0.9,80,832,4.8,14506,21479
2021/10/4 5:15,4.6,15487.78636,20,0.8,80,832,4.8,14901,
2021/10/4 5:30,4.7,15335.29242,21,0.7,80,832,4.5,12103,
2021/10/4 5:45,4.8,15181.83333,22,0.6,81,832,5,15891,12325
2021/10/4 6:00,4.9,15029.33939,23,0.5,81,832,5.5,21734,
2021/10/4 6:15,5,14972.39545,22,0.5,81,832,5.5,21479,
2021/10/4 6:30,5.1,15010.03636,22,0.8,80,832,5.3,17717,20229
2021/10/4 6:45,5.3,15047.67727,21,1.1,79,833,5.2,16524,14513
2021/10/4 7:00,5.3,15085.31818,21,1.4,78,833,5,16813,
2021/10/4 7:15,5.3,14230.19394,21,1.7,77,833,6,23353,
2021/10/4 7:30,5.2,12480.37424,22,2.1,75,833,5.3,19483,22194
2021/10/4 7:45,4.8,10730.55455,22,2.6,72,834,4.8,14073,
2021/10/4 8:00,4.7,9746.405302,23,3,70,834,5.5,19432,13263
2021/10/4 8:15,4.6,9624.125355,24,3.4,68,834,4.7,13547,19380
2021/10/4 8:30,4.7,9561.728076,27,3.7,66,834,4.3,9959,10628
2021/10/4 8:45,4.9,9882.401829,28,4,65,834,4.4,11049,9601
2021/10/4 9:00,5,9606.733514,30,4.3,63,834,4.6,12509,
2021/10/4 9:15,5.1,9826.11087,32,4.6,61,834,4.5,11448,11253
2021/10/4 9:30,5.2,9641.44736,32,4.9,60,834,3.8,6522,9735
2021/10/4 9:45,5.4,9515.640191,33,5.2,58,834,3.4,4907,
2021/10/4 10:00,5.5,9866.608781,33,5.5,57,834,3.5,6136,
2021/10/4 10:15,5.4,9704.424221,34,5.8,56,834,3.1,3645,5805
2021/10/4 10:30,5.3,9836.838005,36,6,55,834,2.8,1271,
2021/10/4 10:45,5.3,9746.066425,37,6.2,54,834,3.3,2667,
2021/10/4 11:00,5.2,9821.245149,40,6.4,53,834,3.1,2387,1474
2021/10/4 11:15,5.1,9586.531217,40,6.6,52,834,3.4,3886,2456
2021/10/4 11:30,5.1,9580.001446,40,6.9,51,834,2.9,2642,
2021/10/4 11:45,5.1,9768.431984,40,7.1,50,834,2.9,2162,1161
2021/10/4 12:00,5.1,9552.326913,40,7.4,49,834,2.6,408,1518
2021/10/4 12:15,5.1,9802.557662,40,7.6,48,834,2.6,745,
2021/10/4 12:30,5,9520.766016,39,7.7,48,834,2.7,959,0
2021/10/4 12:45,5,9691.406694,40,7.8,47,834,2.5,517,536
2021/10/4 13:00,4.9,9514.216583,39,7.9,47,834,2.4,732,714
2021/10/4 13:15,4.8,9824.23056,38,7.9,47,834,2.2,79,-45
2021/10/4 13:30,4.8,9669.700327,36,7.8,47,834,2.1,-8,-89
2021/10/4 13:45,4.8,9515.091138,34,7.8,48,834,2.2,-77,-447
2021/10/4 14:00,4.8,9713.133452,31,7.7,48,834,1.6,-138,-581
2021/10/4 14:15,4.8,9690.427932,30,7.7,48,834,1.8,-98,
2021/10/4 14:30,4.8,9685.250699,29,7.6,48,834,1.6,-102,
2021/10/4 14:45,4.8,9898.898924,29,7.5,49,834,1.5,-105,-491
2021/10/4 15:00,4.8,9610.297895,27,7.4,49,834,2,-122,
2021/10/4 15:15,4.7,9509.650037,28,7.2,49,834,1.9,-127,
2021/10/4 15:30,4.7,9584.140298,28,7.1,50,834,1.6,-109,-447
2021/10/4 15:45,4.5,9550.092345,31,6.9,50,834,2.7,-103,-491
2021/10/4 16:00,4.4,9878.103263,31,6.8,51,834,2.8,1018,
2021/10/4 16:15,4.4,10196.75152,31,6.6,51,834,3,2030,
2021/10/4 16:30,4.6,10660.49939,30,6.4,52,834,2.8,2132,1652
2021/10/4 16:45,4.7,11125.19758,29,6.1,52,835,3.2,3767,
2021/10/4 17:00,4.9,11588.94545,28,5.9,53,835,3.1,3626,
2021/10/4 17:15,5,12010.88,29,5.7,53,835,2.9,2352,2903
2021/10/4 17:30,5.1,12390.05091,30,5.5,53,835,3.2,3474,1563
2021/10/4 17:45,5.1,12769.22182,32,5.4,54,835,3.9,5943,3171
2021/10/4 18:00,5.1,13148.39273,33,5.2,54,835,4.5,10226,
2021/10/4 18:15,5.2,13394.52121,36,5.1,55,835,4.4,9943,10628
2021/10/4 18:30,5.1,13507.60727,37,5,56,835,5,14827,
2021/10/4 18:45,5.1,13620.69333,39,4.9,57,836,5.5,18477,
2021/10/4 19:00,5.1,13733.77939,40,4.8,58,836,5.4,17758,
2021/10/4 19:15,5,13749.93455,43,4.6,59,836,5,14563,16299
2021/10/4 19:30,5,13667.25818,43,4.5,60,836,4.7,12511,
2021/10/4 19:45,4.8,13584.58182,45,4.4,61,836,4.2,9292,
2021/10/4 20:00,4.7,13501.90545,46,4.3,62,836,4.2,8135,8485
2021/10/4 20:15,4.7,13597.88606,48,4.2,64,836,4.2,9244,7591
2021/10/4 20:30,4.8,13874.42424,49,4.1,65,836,4.9,14212,
2021/10/4 20:45,4.8,14150.96242,51,4,66,836,5,14968,
2021/10/4 21:00,4.8,14427.50061,53,3.9,67,836,5.2,15910,14334
2021/10/4 21:15,4.8,14669.82788,52,3.7,68,836,4.9,14385,14736
2021/10/4 21:30,4.9,14877.94424,51,3.4,70,836,4.9,13946,14647
2021/10/4 21:45,5,15086.06061,51,3.1,71,836,4.9,13631,13620
2021/10/4 22:00,5.1,15294.17697,50,2.8,73,836,5,14485,12459
2021/10/4 22:15,5.2,15493.74061,49,2.6,75,836,5,14281,
2021/10/4 22:30,5.2,15684.75152,48,2.4,76,836,4.7,14120,
2021/10/4 22:45,5.4,15876.71273,47,2.3,77,836,5.1,14995,12280
2021/10/4 23:00,5.4,16067.72364,46,2.1,78,836,4.6,12169,
2021/10/4 23:15,5.6,16204.56727,44,2,78,836,4.6,11388,
2021/10/4 23:30,5.7,16285.34303,44,1.9,78,836,4.7,12076,10673
2021/10/4 23:45,5.7,16367.06909,42,1.9,79,836,4.8,12830,11834
2021/10/5 0:00,4.7,10745.7,47,4.1,64,836,5.3,16570,12325
2021/10/5 0:15,4.7,10550.68,47,4.1,64,836,5.1,16478,
2021/10/5 0:30,4.7,10297.84,45,4,65,836,5.1,15303,14692
2021/10/5 0:45,4.6,10045,44,3.9,66,836,4.1,8455,14022
2021/10/5 1:00,4.6,9855.149788,42,3.8,67,836,4.3,9272,
2021/10/5 1:15,4.5,9882.915426,41,3.7,67,836,4.4,10188,
2021/10/5 1:30,4.5,9823.482372,40,3.6,68,836,4.4,9515,8172
2021/10/5 1:45,4.5,9714.94553,39,3.6,68,836,3.5,5571,
2021/10/5 2:00,4.4,9860.421845,38,3.5,69,836,3.6,5970,
2021/10/5 2:15,4.4,9535.747338,37,3.5,69,836,4.1,7794,5850
2021/10/5 2:30,4.4,9701.120345,37,3.4,69,836,3.9,7544,7904
2021/10/5 2:45,4.3,9859.155307,36,3.4,68,836,4.1,7693,
2021/10/5 3:00,4.3,9683.061967,36,3.3,68,836,4.4,9320,
2021/10/5 3:15,4.4,9786.394226,35,3.2,68,836,3.5,4746,7949
2021/10/5 3:30,4.5,9583.195768,34,3.1,68,836,3.2,3620,
2021/10/5 3:45,4.5,9630.132045,33,2.9,68,836,3.4,4625,3081
2021/10/5 4:00,4.6,9572.256492,33,2.8,68,836,3.5,5438,5225
2021/10/5 4:15,4.6,9787.232012,33,2.6,68,836,3.6,5399,3483
2021/10/5 4:30,4.7,9599.135183,31,2.3,69,836,3.2,3149,
2021/10/5 4:45,4.8,9743.659054,30,2.1,69,836,3,2991,1563
2021/10/5 5:00,4.8,9726.597292,29,1.8,70,836,3,2775,2322
2021/10/5 5:15,4.8,9716.093619,29,1.7,70,836,3.5,4658,
2021/10/5 5:30,4.7,9690.892737,28,1.6,70,836,3,2741,
2021/10/5 5:45,4.6,9810.662839,27,1.5,70,836,3.4,4122,2590
2021/10/5 6:00,4.5,9543.269347,27,1.4,70,836,3.6,5026,4421
2021/10/5 6:15,4.5,9685.879603,27,1.4,70,836,3.4,4643,
2021/10/5 6:30,4.4,9796.062585,25,1.6,70,836,3.3,4150,4153
2021/10/5 6:45,4.3,9672.514608,26,1.8,69,836,3.9,7283,4153
2021/10/5 7:00,4.3,9547.42392,25,2,69,836,3.6,6421,5894
2021/10/5 7:15,4.2,9884.905363,25,2.3,68,836,4.2,8154,
2021/10/5 7:30,4.1,9875.966536,26,2.7,66,836,4.4,10757,
2021/10/5 7:45,3.9,9831.383934,27,3.1,64,837,4.2,10537,10137
2021/10/5 8:00,3.8,9711.30985,28,3.5,62,837,4.4,11700,
2021/10/5 8:15,3.9,9846.39816,31,3.9,60,837,4.5,10879,
2021/10/5 8:30,4,9687.916307,35,4.3,59,837,5,14832,10137
2021/10/5 8:45,4.2,9641.887679,38,4.7,57,837,5.1,17632,14647
2021/10/5 9:00,4.4,9741.520288,41,5.1,56,837,6,23856,
2021/10/5 9:15,4.6,9705.998511,44,5.5,55,837,4.9,15418,
2021/10/5 9:30,4.7,9693.197371,45,5.8,54,837,4.6,11309,13888
2021/10/5 9:45,4.7,9532.781516,47,6.1,54,838,4.9,13963,10271
2021/10/5 10:00,4.7,9513.622872,48,6.4,53,838,4.6,12656,13531
2021/10/5 10:15,4.7,9819.687012,48,6.6,53,838,4.2,9578,10673
2021/10/5 10:30,4.5,9586.794044,50,6.9,52,838,4.2,8908,10181
2021/10/5 10:45,4.3,9585.070116,50,7.1,52,838,4.2,8851,
2021/10/5 11:00,4.1,9678.475843,51,7.4,51,838,4.3,8903,
2021/10/5 11:15,3.9,9753.248977,52,7.6,51,838,3.9,7565,7815
2021/10/5 11:30,3.9,9827.473129,53,7.7,51,838,3.9,7281,6698
2021/10/5 11:45,3.7,9617.665909,55,7.9,50,838,3.6,5232,6475
2021/10/5 12:00,3.6,9693.693496,56,8,50,838,3.7,5660,
2021/10/5 12:15,3.6,9558.205829,58,8.2,50,838,3.5,5358,4957
2021/10/5 12:30,3.4,9785.566069,58,8.3,50,838,4.1,7794,
2021/10/5 12:45,3.3,9587.605485,57,8.4,50,837,3.2,3274,
2021/10/5 13:00,3.2,9779.008794,58,8.5,50,837,3.4,3639,2411
2021/10/5 13:15,3.1,9874.08333,57,8.6,50,837,3.4,4317,2858
2021/10/5 13:30,3.1,9646.637266,54,8.6,50,837,3.3,3214,2992
2021/10/5 13:45,3.1,9734.836305,52,8.7,50,837,2.9,1496,1876
2021/10/5 14:00,3,9707.691691,49,8.7,50,837,2.6,667,1429
2021/10/5 14:15,3.1,9770.953412,48,8.7,50,837,2.5,444,89
2021/10/5 14:30,3.3,9740.198811,46,8.6,50,837,3,1408,89
2021/10/5 14:45,3.4,9571.715564,45,8.5,51,836,3.3,3026,1206
2021/10/5 15:00,3.6,9635.716561,44,8.4,51,836,3.6,4283,2054
2021/10/5 15:15,3.7,9597.377631,45,8.2,51,836,3.7,4986,
2021/10/5 15:30,3.7,9607.729549,47,8,52,836,3.3,4043,
